Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error
2400000.088,300,0.14,0.86,492.9783283,468.0249547,0.988620694,1.761581048
2400000.088,300,0.16,0.84,540.4929656,443.3927696,1.539557203,0.90507218
2400000.088,300,0.18,0.82,583.9956978,420.0650451,0.790399348,0.556598423
2400000.088,300,0.2,0.8,624.4356977,398.9417268,1.939399452,0.676466548
2400000.088,300,0.22,0.78,662.1853845,378.8661746,0.243623115,1.821485714
2400000.088,300,0.24,0.76,697.4205491,360.3831563,2.381224909,1.301955844
2400000.088,300,0.26,0.74,730.3917592,341.8529658,1.656150192,1.72975432
2400000.088,300,0.28,0.72,760.1732573,325.566838,1.033830425,0.991945301
2400000.088,300,0.3,0.7,789.2547666,308.8425132,0.660101039,1.1583257
2400000.088,300,0.32,0.68,816.3491804,294.1866537,0.776181319,1.374960155
2400000.088,300,0.34,0.66,843.6042723,279.0414419,1.529937192,0.990372924
2400000.088,300,0.36,0.64,866.9305386,265.2673276,1.076645717,1.887899286
2400000.088,300,0.38,0.62,890.5413422,252.2122797,1.377951265,1.039167165
2400000.088,300,0.4,0.6,913.2100005,239.1586346,0.928152392,1.60041517
2400000.088,300,0.42,0.58,933.8380039,227.0775985,1.059640758,0.996557315
2400000.088,300,0.44,0.56,953.1250698,215.8257495,1.27465362,1.25203678
2400000.088,300,0.46,0.54,973.4994667,203.9232548,1.291166313,0.838633534
2400000.088,300,0.48,0.52,990.8628184,193.7028244,2.649771894,1.190377867
2400000.088,300,0.5,0.5,1008.071597,183.0152079,0.665829297,0.777309263
2400000.088,300,0.52,0.48,1025.351299,173.371513,2.32593021,0.210055068
2400000.088,300,0.54,0.46,1041.837841,163.4505681,1.998359692,1.033781823
2400000.088,300,0.56,0.44,1057.897019,153.9979351,2.75130005,0.652938449
2400000.088,300,0.58,0.42,1072.588291,145.0170427,2.578472905,0.861352961
2400000.088,300,0.6,0.4,1088.398123,136.2571538,1.958364347,1.044242436
2400000.088,300,0.62,0.38,1101.022285,127.8248044,0.541176701,0.284667053
2400000.088,300,0.64,0.36,1115.559337,119.5915866,1.195166673,0.921429561
2400000.088,300,0.66,0.34,1129.059469,111.5008037,0.780269824,0.756094913
2400000.088,300,0.68,0.32,1140.736711,103.7560724,0.70265665,0.362507878
2400000.088,300,0.7,0.3,1152.80512,95.80116103,1.381003719,0.55361724
2400000.088,300,0.72,0.28,1165.011987,88.34542094,0.984189588,0.662207756
2400000.088,300,0.74,0.26,1177.004399,80.99867597,1.254076225,0.45671836
2400000.088,300,0.76,0.24,1187.783368,73.83781493,0.646642082,0.750848062
2400000.088,300,0.78,0.22,1197.980429,67.07407431,2.284400373,0.481635599
2400000.088,300,0.8,0.2,1210.348245,60.36968009,1.725890193,0.402262222
2400000.088,300,0.82,0.18,1220.129611,54.00039302,1.154885808,0.23644457
2400000.088,300,0.84,0.16,1229.848219,47.41309841,1.673896301,0.220495665
2400000.088,300,0.86,0.14,1239.757188,40.98406664,2.361253759,0.399955068
2400000.088,300,0.88,0.12,1249.342549,34.86028699,1.381356018,0.365745142
2400000.088,300,0.9,0.1,1258.729166,28.77304684,1.937995155,0.285962628
