Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error,P-bar
2000000.09,220,0.98,0.02,1819.189814,17.82679634,7.434883878,0.251543015,20
2000000.09,240,0.02,0.98,198.1415622,1071.732977,2.646938441,1.800547546,20
2000000.09,240,0.116,0.884,700.021081,731.9109329,4.896191178,2.745534387,20
2000000.09,240,0.212,0.788,947.9929494,558.6751529,2.421189414,4.619308063,20
2000000.09,240,0.308,0.692,1114.829746,441.991817,3.940676379,4.11006848,20
2000000.09,240,0.404,0.596,1239.177179,352.6838657,2.903863746,1.503644132,20
2000000.09,240,0.5,0.5,1341.322441,279.1440816,4.027671563,0.65367923,20
2000000.09,240,0.596,0.404,1425.192865,217.4534548,5.344491718,2.834984104,20
2000000.09,240,0.692,0.308,1499.020178,162.175547,5.488290929,0.707599895,20
2000000.09,240,0.788,0.212,1561.202644,109.671092,2.41741458,1.138180141,20
2000000.09,240,0.884,0.116,1625.248428,59.82790824,14.83663418,0.779509956,20
2000000.09,240,0.98,0.02,1685.660451,10.38574133,14.02471329,0.209470458,20
2000000.09,260,0.02,0.98,157.8652521,909.8555996,0.379386935,1.547643284,20
2000000.09,260,0.116,0.884,606.7040236,630.5683039,1.898051668,1.576684715,20
2000000.09,260,0.212,0.788,845.3792196,475.4716898,3.823776557,5.077788969,20
2000000.09,260,0.308,0.692,1002.827745,369.6458705,2.061495945,2.1287449,20
2000000.09,260,0.404,0.596,1116.86199,290.2955075,1.846940406,2.455864481,20
2000000.09,260,0.5,0.5,1208.777279,226.0058998,3.258680798,2.0120706,20
2000000.09,260,0.596,0.404,1284.735706,171.8661025,3.905339546,0.784881679,20
2000000.09,260,0.692,0.308,1345.943224,124.6374853,2.142131889,1.168549415,20
2000000.09,260,0.788,0.212,1403.191745,82.72519385,3.068864538,1.03702794,20
2000000.09,260,0.884,0.116,1452.644884,43.45877864,4.108968264,0.410001638,20
2000000.09,260,0.98,0.02,1499.879569,7.360408328,6.010083701,0.10977087,20
2000000.09,280,0.02,0.98,121.9154744,751.5251867,0.586504309,3.335377298,20
2000000.09,280,0.116,0.884,510.6080117,540.7937378,2.401564603,2.393966491,20
2000000.09,280,0.212,0.788,740.1626788,410.2239156,2.080015566,1.463425274,20
2000000.09,280,0.308,0.692,894.0962021,318.2127158,3.469088019,1.250852311,20
2000000.09,280,0.404,0.596,1008.084756,247.7874488,0.966327381,0.850870482,20
2000000.09,280,0.5,0.5,1097.51857,191.2254629,1.50917732,1.352257048,20
2000000.09,280,0.596,0.404,1169.62558,144.1740883,0.96932744,0.421469168,20
2000000.09,280,0.692,0.308,1230.678498,103.5766651,1.557558998,1.219661671,20
2000000.09,280,0.788,0.212,1284.864721,67.64015966,2.274978702,0.376950308,20
2000000.09,280,0.884,0.116,1329.249961,35.13377917,2.574704854,0.18480538,20
2000000.09,280,0.98,0.02,1371.359906,5.850581867,3.306359588,0.062575392,20
2000000.09,300,0.02,0.98,92.42269213,609.4037011,0.466763432,1.547061693,20
2000000.09,300,0.116,0.884,414.2150084,459.5293971,2.264353369,1.266335035,20
2000000.09,300,0.212,0.788,627.2648472,357.5890613,0.651167496,1.212426943,20
2000000.09,300,0.308,0.692,779.2009918,280.181059,1.448124566,1.493943472,20
2000000.09,300,0.404,0.596,894.4355741,219.5987917,0.404404833,0.626979456,20
2000000.09,300,0.5,0.5,985.9218729,169.5823657,1.814787101,0.819746906,20
