Pressure(Pa),Temperature(K),CO2_mole_frac,CH4_mole_frac,CO2_uptake,CH4_uptake,CO2_Error,CH4_Error,P_BAR
1500000.1,280,0.884,0.116,713.9535563,3.737756711,3.59360516,0.058173282,15
1500000.1,280,0.98,0.02,730.7892991,0.580502022,3.897237858,0.024898463,15
1500000.1,300,0.02,0.98,29.21439061,97.04753908,0.407943912,1.03552103,15
1500000.1,300,0.116,0.884,158.2802966,80.66309327,2.629037146,0.408443635,15
1500000.1,300,0.212,0.788,269.2483178,64.28199588,6.238643308,0.438494367,15
1500000.1,300,0.308,0.692,358.1835463,50.54634335,4.430574066,0.983228302,15
1500000.1,300,0.404,0.596,431.8765986,38.71812564,4.365403288,0.548893265,15
1500000.1,300,0.5,0.5,489.8518416,28.9527953,3.984186314,0.601439053,15
1500000.1,300,0.596,0.404,536.7155797,20.92718079,4.089061019,0.238762952,15
1500000.1,300,0.692,0.308,572.4408081,14.47081144,4.894565313,0.311744697,15
1500000.1,300,0.788,0.212,603.1470194,9.093028767,3.251313906,0.198981075,15
1500000.1,300,0.884,0.116,627.273744,4.514886803,6.829591511,0.110619451,15
1500000.1,300,0.98,0.02,650.012758,0.723688101,3.641278383,0.033632753,15
1500000.1,320,0.02,0.98,17.78891876,77.32422864,0.288045115,0.838332947,15
1500000.1,320,0.116,0.884,100.5320046,66.68562567,0.996731776,0.512744672,15
1500000.1,320,0.212,0.788,175.6364083,56.37679161,2.78547283,0.76662499,15
1500000.1,320,0.308,0.692,246.9945752,46.43094537,6.419105648,0.639312128,15
1500000.1,320,0.404,0.596,312.2600725,37.50444211,2.047198592,0.364261517,15
1500000.1,320,0.5,0.5,365.6641993,29.39229932,4.342135252,0.400742527,15
1500000.1,320,0.596,0.404,416.2853581,22.04260001,6.633501938,0.511967414,15
1500000.1,320,0.692,0.308,457.1892692,15.68177645,7.203622537,0.283142425,15
1500000.1,320,0.788,0.212,492.5444293,10.05183511,3.66475629,0.163264676,15
1500000.1,320,0.884,0.116,524.3140187,5.152146076,2.935526983,0.06531604,15
1500000.1,320,0.98,0.02,551.1840676,0.830472625,1.451599343,0.021457699,15
1500000.1,340,0.02,0.98,11.53958382,62.20694151,0.27406909,0.317605893,15
1500000.1,340,0.116,0.884,65.64929537,54.53871202,1.394026287,0.600806791,15
1500000.1,340,0.212,0.788,118.4090305,47.1313935,0.759517751,0.523104618,15
1500000.1,340,0.308,0.692,169.6415748,40.11706589,2.422730547,0.655628938,15
1500000.1,340,0.404,0.596,218.4783134,33.35038821,1.384317797,0.369006182,15
1500000.1,340,0.5,0.5,262.3204031,26.83474201,2.572165545,0.250758814,15
1500000.1,340,0.596,0.404,304.9047153,20.8163848,3.293665737,0.321272497,15
1500000.1,340,0.692,0.308,344.9412846,15.11980673,1.732881833,0.17095219,15
1500000.1,340,0.788,0.212,380.6450545,10.02335702,2.280022137,0.056639157,15
1500000.1,340,0.884,0.116,413.9188305,5.221136637,1.808327363,0.10582476,15
1500000.1,340,0.98,0.02,442.0171061,0.869493235,2.254091298,0.041311705,15
1500000.1,360,0.02,0.98,8.04539362,50.65713933,0.168782122,1.021128369,15
1500000.1,360,0.116,0.884,45.58650249,45.19531482,0.972202313,0.461123723,15
1500000.1,360,0.212,0.788,83.15452542,39.50307974,1.682005041,0.226294372,15
1500000.1,360,0.308,0.692,119.7420947,33.65466277,1.990800825,0.449360977,15
1500000.1,360,0.404,0.596,153.4584978,28.57744157,1.313289707,0.358985352,15
1500000.1,360,0.5,0.5,188.1754492,23.13809452,1.948870423,0.262339235,15
1500000.1,360,0.596,0.404,221.6971801,18.39574773,2.042315594,0.336609133,15
