Pressure [Pa],Mole fraction CH4,Mole Fraction CO2,Uptake_CH4 [mg/gr],Uptake_CO2 [mg/gr],Error_CH4 [mg/gr],Error_CO2 [mg/gr]
60000.94,0.16,.84,0.6476334160,29.4186134588,0.0090834040,0.2572700353
60000.94,0.18,.82,0.7317768681,28.9499628769,0.0088284030,0.4445120367
60000.94,0.2,.80,0.8130237805,28.1643336734,0.0061052095,0.4517464169
60000.94,0.22,.78,0.8894225839,27.5255873826,0.0121840899,0.3029547286
60000.94,0.24,.76,0.9757641193,26.8542755668,0.0145229526,0.1447745920
60000.94,0.26,.74,1.0602567997,26.1445950270,0.0082996198,0.2225394935
60000.94,0.28,.72,1.1356079184,25.4171668396,0.0153144065,0.4640155063
60000.94,0.3,.70,1.2210866548,24.7703636801,0.0100690857,0.2674198507
60000.94,0.32,.68,1.3020254247,23.9656909690,0.0165032074,0.3075902262
60000.94,0.34,.66,1.3818137958,23.3025487053,0.0184014537,0.1257737147
60000.94,0.36,.64,1.4617459668,22.6312932313,0.0075882227,0.3012963881
60000.94,0.38,.62,1.5458688761,22.0301268801,0.0183094128,0.5494011626
60000.94,0.4,.60,1.6197819964,21.0470762245,0.0179234680,0.2044039655
60000.94,0.42,.58,1.7076847873,20.3181268101,0.0189537495,0.2716018484
60000.94,0.44,.56,1.7870006732,19.7551038159,0.0294431488,0.3205603210
60000.94,0.46,.54,1.8604618512,19.2115187216,0.0106535060,0.3990094712
60000.94,0.48,.52,1.9382781101,18.4853300524,0.0209981028,0.2500054842
60000.94,0.5,.50,2.0333298076,17.6425139842,0.0110450540,0.1671744577
60000.94,0.52,.48,2.1179046593,16.9168887324,0.0168855515,0.2378509534
60000.94,0.54,.46,2.1814436479,16.2319985576,0.0096356917,0.1823452039
60000.94,0.56,.44,2.2814256259,15.6235641222,0.0176158239,0.2419655257
60000.94,0.58,.42,2.3630628521,14.8192858032,0.0220443125,0.2028522398
60000.94,0.6,.40,2.4221235027,14.2190772616,0.0390800175,0.1982268880
60000.94,0.62,.38,2.5105604074,13.5262992434,0.0215874161,0.1904419339
60000.94,0.64,.36,2.5829533579,12.6323248765,0.0363540401,0.1224580621
60000.94,0.66,.34,2.6772244277,12.0019735048,0.0216310594,0.1457074217
60000.94,0.68,.32,2.7395719319,11.3446907819,0.0156490299,0.1327471649
60000.94,0.7,.30,2.8410535367,10.7430736968,0.0384237611,0.1618438049
60000.94,0.72,.28,2.9119263175,9.9307948510,0.0414442259,0.0913947426
60000.94,0.74,.26,3.0070807292,9.2223538294,0.0306510225,0.0664519236
60000.94,0.76,.24,3.0784670808,8.4709804031,0.0152940602,0.1533844623
60000.94,0.78,.22,3.1630830181,7.8068803298,0.0238879116,0.0726560703
60000.94,0.8,.20,3.2328259429,7.0790014085,0.0272542992,0.0788977445
60000.94,0.82,.18,3.3450925361,6.3426148846,0.0231066326,0.0612441611
60000.94,0.84,.16,3.4049954430,5.6608235054,0.0304877242,0.0800975158
60000.94,0.86,.14,3.4890156381,4.9519880917,0.0279919363,0.0795493415
60000.94,0.88,.12,3.5511166283,4.2304757868,0.0637178051,0.1125693726
60000.94,0.9,.10,3.6487156373,3.5072168880,0.0438669103,0.0752627478
60000.94,0.92,.08,3.7256074687,2.7939304769,0.0392105728,0.0407166139
60000.94,0.94,.06,3.8107575198,2.1169281456,0.0287983919,0.0243542206
60000.94,0.96,.04,3.9002010233,1.4127690962,0.0310163749,0.0160781411
60000.94,0.98,.02,3.9588302744,0.7087790720,0.0429904425,0.0121100044
60000.94,1,0,4.0685290133,0.0000000000,0.0499185342,0.0000000000
80000.92,0,1.00,0.0000000000,46.8071952271,0.0000000000,0.3934024006
80000.92,0.02,.98,0.1091851680,45.9588576685,0.0025295147,0.9817010970
80000.92,0.04,.96,0.2151656537,44.9386778071,0.0061256830,0.3400066579
80000.92,0.06,.94,0.3229128233,43.8063778859,0.0136315191,0.7676895101
80000.92,0.08,.92,0.4299820792,43.1387846248,0.0129400204,0.6133742863
80000.92,0.1,.90,0.5483293516,42.4507956544,0.0075048367,0.3490112044
80000.92,0.12,.88,0.6545563514,41.3458214764,0.0063921036,0.7754240279
80000.92,0.14,.86,0.7520321034,40.3206272003,0.0048326731,0.3357108213
80000.92,0.16,.84,0.8684688922,39.2275974709,0.0094294647,0.3730699988
80000.92,0.18,.82,0.9785579449,38.4711532880,0.0087532127,0.3756342744
80000.92,0.2,.80,1.0758898971,37.7760652585,0.0155560693,0.5324641415
80000.92,0.22,.78,1.1987771360,36.4771628162,0.0177183077,0.5332277916
80000.92,0.24,.76,1.3010188258,35.5826250319,0.0135454217,0.3261948591
